Date,Venue,Race,Length
26/12/2018,Happy Valley,7,1650
26/12/2018,Happy Valley,8,1650
23/12/2018,Sha Tin,1,1000
23/12/2018,Sha Tin,2,2000
23/12/2018,Sha Tin,3,1400
23/12/2018,Sha Tin,4,1400
23/12/2018,Sha Tin,5,1400
23/12/2018,Sha Tin,6,1200
23/12/2018,Sha Tin,7,2000
23/12/2018,Sha Tin,8,1200
23/12/2018,Sha Tin,9,1000
19/12/2018,Sha Tin,1,1650
19/12/2018,Sha Tin,2,1200
19/12/2018,Sha Tin,3,1650
19/12/2018,Sha Tin,4,1200
19/12/2018,Sha Tin,5,1200
19/12/2018,Sha Tin,7,1200
16/12/2018,Sha Tin,1,2200
16/12/2018,Sha Tin,2,1200
16/12/2018,Sha Tin,3,1000
16/12/2018,Sha Tin,4,1600
16/12/2018,Sha Tin,5,1400
16/12/2018,Sha Tin,6,1600
16/12/2018,Sha Tin,7,1400
16/12/2018,Sha Tin,8,1200
16/12/2018,Sha Tin,9,1400
16/12/2018,Sha Tin,10,1600
12/12/2018,Happy Valley,1,1650
12/12/2018,Happy Valley,2,1200
12/12/2018,Happy Valley,3,1650
12/12/2018,Happy Valley,4,1200
12/12/2018,Happy Valley,5,1800
12/12/2018,Happy Valley,6,1200
12/12/2018,Happy Valley,7,1000
12/12/2018,Happy Valley,8,1650
09/12/2018,Sha Tin,1,1400
09/12/2018,Sha Tin,2,1200
09/12/2018,Sha Tin,3,1800
09/12/2018,Sha Tin,4,2400
09/12/2018,Sha Tin,5,1200
09/12/2018,Sha Tin,6,1600
09/12/2018,Sha Tin,7,1600
09/12/2018,Sha Tin,8,2000
09/12/2018,Sha Tin,9,1200
09/12/2018,Sha Tin,10,1400
05/12/2018,Happy Valley,1,1650
05/12/2018,Happy Valley,2,1200
05/12/2018,Happy Valley,3,1200
05/12/2018,Happy Valley,4,1000
05/12/2018,Happy Valley,5,1650
05/12/2018,Happy Valley,6,1200
05/12/2018,Happy Valley,7,1650
05/12/2018,Happy Valley,8,1650
05/12/2018,Happy Valley,9,1800
02/12/2018,Sha Tin,1,1800
02/12/2018,Sha Tin,2,1400
02/12/2018,Sha Tin,3,1800
02/12/2018,Sha Tin,4,1200
02/12/2018,Sha Tin,5,1200
02/12/2018,Sha Tin,6,1000
02/12/2018,Sha Tin,7,1200
02/12/2018,Sha Tin,8,1650
02/12/2018,Sha Tin,9,1200
02/12/2018,Sha Tin,10,1400
28/11/2018,Happy Valley,1,1200
28/11/2018,Happy Valley,2,1650
28/11/2018,Happy Valley,3,1800
28/11/2018,Happy Valley,4,1200
28/11/2018,Happy Valley,5,2200
28/11/2018,Happy Valley,6,1200
28/11/2018,Happy Valley,7,1000
28/11/2018,Happy Valley,8,1200
25/11/2018,Sha Tin,1,1000
25/11/2018,Sha Tin,2,1400
25/11/2018,Sha Tin,3,1000
25/11/2018,Sha Tin,4,1600
25/11/2018,Sha Tin,5,1400
25/11/2018,Sha Tin,6,1400
25/11/2018,Sha Tin,7,1600
25/11/2018,Sha Tin,8,1200
25/11/2018,Sha Tin,9,1600
25/11/2018,Sha Tin,10,1400
21/11/2018,Happy Valley,1,1800
21/11/2018,Happy Valley,2,1000
21/11/2018,Happy Valley,3,1200
21/11/2018,Happy Valley,4,1200
21/11/2018,Happy Valley,5,1650
21/11/2018,Happy Valley,6,1650
21/11/2018,Happy Valley,7,1650
21/11/2018,Happy Valley,8,1200
18/11/2018,Sha Tin,1,1200
18/11/2018,Sha Tin,2,1650
18/11/2018,Sha Tin,3,1650
18/11/2018,Sha Tin,4,1000
18/11/2018,Sha Tin,5,1800
18/11/2018,Sha Tin,6,1600
14/11/2018,Happy Valley,1,1650
14/11/2018,Happy Valley,2,1200
14/11/2018,Happy Valley,3,1000
14/11/2018,Happy Valley,4,1200
14/11/2018,Happy Valley,5,1650
14/11/2018,Happy Valley,6,1200
14/11/2018,Happy Valley,7,1800
14/11/2018,Happy Valley,8,1650
10/11/2018,Sha Tin,1,2000
10/11/2018,Sha Tin,2,1200
10/11/2018,Sha Tin,3,1200
10/11/2018,Sha Tin,4,1200
10/11/2018,Sha Tin,5,1400
10/11/2018,Sha Tin,6,1800
10/11/2018,Sha Tin,7,1400
10/11/2018,Sha Tin,8,1400
10/11/2018,Sha Tin,9,1200
10/11/2018,Sha Tin,10,1600
07/11/2018,Happy Valley,1,1000
07/11/2018,Happy Valley,2,1200
07/11/2018,Happy Valley,3,1650
07/11/2018,Happy Valley,4,1200
07/11/2018,Happy Valley,5,1200
07/11/2018,Happy Valley,6,1650
07/11/2018,Happy Valley,7,1200
07/11/2018,Happy Valley,8,1200
04/11/2018,Sha Tin,1,1200
04/11/2018,Sha Tin,2,1000
04/11/2018,Sha Tin,3,1600
04/11/2018,Sha Tin,4,1600
04/11/2018,Sha Tin,5,1400
04/11/2018,Sha Tin,6,1000
04/11/2018,Sha Tin,7,1800
04/11/2018,Sha Tin,8,1800
04/11/2018,Sha Tin,9,1400
04/11/2018,Sha Tin,10,1400
31/10/2018,Sha Tin,1,1650
31/10/2018,Sha Tin,2,1200
31/10/2018,Sha Tin,3,1650
